,0,1,2
0,1256.8885498046875,1248.72900390625,1251.0
1,1260.956298828125,1254.199951171875,1257.29345703125
2,1267.21875,1259.221923828125,1261.9754638671875
3,1256.620849609375,1250.2763671875,1253.9888916015625
4,1244.356201171875,1238.315185546875,1242.7335205078125
5,1233.0262451171875,1226.6142578125,1230.7735595703125
6,1217.6419677734375,1212.893798828125,1217.98583984375
7,1209.7369384765625,1204.4241943359375,1209.48486328125
8,1191.25634765625,1187.673828125,1193.7601318359375
9,1181.9853515625,1177.6748046875,1183.5926513671875
10,1187.9046630859375,1182.031982421875,1186.330078125
11,1196.644775390625,1191.9588623046875,1196.5087890625
12,1228.314697265625,1220.135498046875,1222.5535888671875
13,1241.1470947265625,1234.992919921875,1238.0992431640625
14,1254.9866943359375,1247.810546875,1251.0428466796875
15,1259.582763671875,1251.7008056640625,1254.3594970703125
16,1263.323974609375,1255.8448486328125,1258.580810546875
17,1268.344970703125,1260.5367431640625,1263.2059326171875
18,1258.2474365234375,1252.0479736328125,1255.9239501953125
19,1260.9027099609375,1252.4576416015625,1255.1322021484375
20,1250.8663330078125,1244.7681884765625,1248.4283447265625
21,1247.510498046875,1240.9482421875,1244.9317626953125
22,1233.735107421875,1227.9122314453125,1232.34326171875
23,1228.83984375,1222.4649658203125,1226.541259765625
24,1227.5552978515625,1221.359619140625,1225.2657470703125
25,1223.691650390625,1218.39208984375,1222.982666015625
26,1236.1375732421875,1228.16455078125,1231.0262451171875
27,1242.2149658203125,1235.7120361328125,1238.8223876953125
28,1257.2315673828125,1249.566650390625,1252.3468017578125
29,1265.25,1257.2701416015625,1259.668701171875
30,1271.064453125,1263.3126220703125,1265.8541259765625
31,1267.6865234375,1260.6441650390625,1263.9088134765625
32,1269.2974853515625,1260.89111328125,1263.395263671875
33,1265.9776611328125,1258.6722412109375,1261.52392578125
34,1276.5072021484375,1267.6302490234375,1269.5947265625
35,1280.020751953125,1271.9525146484375,1274.1055908203125
36,1287.14892578125,1278.5167236328125,1280.5465087890625
37,1286.8125,1278.5037841796875,1280.71826171875
38,1288.257568359375,1279.592041015625,1281.6513671875
39,1292.83837890625,1283.6798095703125,1285.2608642578125
40,1296.7178955078125,1287.9051513671875,1289.596435546875
41,1301.30224609375,1292.1217041015625,1293.7044677734375
42,1299.49853515625,1290.7947998046875,1292.69384765625
43,1300.6392822265625,1291.377197265625,1293.010498046875
44,1306.014892578125,1296.2044677734375,1297.240234375
45,1313.6807861328125,1303.9422607421875,1304.85400390625
46,1319.7662353515625,1309.953369140625,1310.9173583984375
47,1322.0806884765625,1312.1468505859375,1313.1021728515625
48,1321.9215087890625,1312.0733642578125,1313.09619140625
49,1326.54248046875,1315.968505859375,1316.4725341796875
50,1325.8681640625,1316.18359375,1317.1448974609375
51,1326.272705078125,1316.222412109375,1317.2110595703125
52,1322.1815185546875,1312.385498046875,1313.4886474609375
53,1320.4879150390625,1310.6424560546875,1311.7340087890625
54,1324.2965087890625,1313.80908203125,1314.3724365234375
55,1327.7158203125,1317.5849609375,1318.20751953125
56,1339.53076171875,1328.1119384765625,1327.9072265625
57,1344.6494140625,1333.9478759765625,1333.975341796875
58,1351.14404296875,1339.911865234375,1339.83251953125
59,1352.90185546875,1341.6097412109375,1341.42919921875
60,1355.256103515625,1343.90478515625,1343.6690673828125
61,1352.6748046875,1341.8883056640625,1342.089111328125
62,1354.6993408203125,1343.0018310546875,1342.7017822265625
63,1353.8564453125,1342.736083984375,1342.57958984375
64,1353.066162109375,1342.159423828125,1342.3203125
65,1357.0765380859375,1345.060302734375,1344.4866943359375
66,1360.143310546875,1348.613525390625,1348.047607421875
67,1365.58203125,1353.843505859375,1353.279296875
68,1364.823974609375,1353.330322265625,1352.98046875
69,1366.3795166015625,1354.3621826171875,1353.7080078125
70,1367.53125,1355.67431640625,1354.9765625
71,1370.5435791015625,1358.5567626953125,1357.8043212890625
72,1373.5994873046875,1361.369873046875,1360.43408203125
73,1372.5634765625,1360.8489990234375,1360.2509765625
74,1375.74658203125,1363.21923828125,1362.182373046875
75,1374.1734619140625,1362.3314208984375,1361.57666015625
76,1373.1900634765625,1361.344482421875,1360.7835693359375
77,1361.73388671875,1351.0035400390625,1351.3165283203125
78,1358.761474609375,1346.81640625,1346.4959716796875
79,1360.765625,1348.76171875,1347.9315185546875
