,0
0,1237.6632080078125
1,1247.42041015625
2,1269.6502685546875
3,1258.5400390625
4,1264.090576171875
5,1244.852294921875
6,1225.724609375
7,1225.28271484375
8,1204.415283203125
9,1199.8681640625
10,1175.705322265625
11,1172.8333740234375
12,1204.01953125
13,1206.449462890625
14,1254.103271484375
15,1251.9124755859375
16,1251.6363525390625
17,1263.41845703125
18,1264.6981201171875
19,1267.0361328125
20,1242.495849609375
21,1261.678955078125
22,1244.447265625
23,1234.561279296875
24,1221.7572021484375
25,1225.374755859375
26,1228.9739990234375
27,1215.8017578125
28,1248.8934326171875
29,1251.120849609375
30,1260.58349609375
31,1271.0126953125
32,1271.104736328125
33,1256.570068359375
34,1268.8863525390625
35,1263.897216796875
36,1281.81005859375
37,1282.0308837890625
38,1285.491943359375
39,1282.5003662109375
40,1285.1605224609375
41,1295.6357421875
42,1296.00390625
43,1298.7838134765625
44,1292.883544921875
45,1297.099365234375
46,1310.3267822265625
47,1316.27294921875
48,1317.0831298828125
49,1317.6536865234375
50,1316.4111328125
51,1326.9139404296875
52,1319.8905029296875
53,1317.9573974609375
54,1314.9014892578125
55,1314.3492431640625
56,1325.1004638671875
57,1326.435302734375
58,1344.255859375
59,1343.731201171875
60,1346.23486328125
61,1348.91357421875
62,1350.7452392578125
63,1342.175537109375
64,1350.5797119140625
65,1349.41064453125
66,1342.71875
67,1356.35107421875
68,1359.2874755859375
69,1360.189453125
70,1356.001220703125
71,1361.3402099609375
72,1363.43896484375
73,1365.1417236328125
74,1369.3668212890625
75,1363.3837890625
76,1371.1248779296875
77,1367.01953125
78,1362.1409912109375
79,1342.8382568359375
80,1351.3712158203125
81,1363.595458984375
82,1368.1610107421875
83,1368.3634033203125
84,1391.246826171875
85,1389.7095947265625
86,1397.3680419921875
87,1398.813232421875
88,1403.949462890625
89,1400.0557861328125
90,1397.6351318359375
91,1388.328857421875
92,1392.3145751953125
93,1410.172119140625
94,1406.4993896484375
95,1400.0743408203125
96,1397.9940185546875
97,1402.7713623046875
98,1412.5009765625
99,1407.2908935546875
100,1394.0174560546875
101,1393.2073974609375
102,1378.5899658203125
103,1356.857421875
104,1366.1727294921875
105,1383.5330810546875
106,1367.5994873046875
107,1366.9642333984375
108,1386.4879150390625
109,1381.29638671875
110,1373.7301025390625
111,1375.2119140625
112,1364.5433349609375
113,1369.1734619140625
114,1386.4049072265625
115,1394.9564208984375
116,1398.067626953125
117,1393.051025390625
118,1400.33203125
119,1397.1011962890625
120,1387.2149658203125
121,1366.5316162109375
122,1366.9735107421875
123,1361.5794677734375
124,1353.1661376953125
125,1356.3050537109375
126,1352.07080078125
127,1338.2266845703125
128,1331.148193359375
129,1325.754150390625
130,1307.3995361328125
131,1298.5260009765625
132,1317.6446533203125
133,1318.233642578125
134,1320.286376953125
135,1321.961669921875
136,1319.3289794921875
137,1332.7681884765625
138,1315.186767578125
139,1312.4345703125
140,1282.7120361328125
141,1282.8408203125
142,1289.5789794921875
143,1316.8529052734375
144,1316.72412109375
145,1326.545654296875
146,1311.14599609375
147,1325.1834716796875
148,1316.6226806640625
149,1329.712158203125
150,1342.359619140625
151,1344.1455078125
152,1356.2958984375
153,1354.1878662109375
154,1326.4075927734375
155,1335.1614990234375
156,1315.554931640625
157,1321.3265380859375
158,1332.2435302734375
159,1329.656982421875
160,1360.1435546875
161,1363.2271728515625
162,1371.060546875
163,1365.132568359375
164,1353.25830078125
165,1351.2147216796875
166,1341.0986328125
167,1341.080078125
168,1334.9222412109375
169,1355.1912841796875
170,1352.3009033203125
171,1361.5335693359375
172,1369.9190673828125
173,1373.3525390625
174,1360.603759765625
175,1349.4290771484375
176,1338.18994140625
177,1337.80322265625
178,1358.1737060546875
179,1382.0601806640625
180,1381.4437255859375
181,1375.9390869140625
182,1372.257080078125
183,1362.7576904296875
184,1386.68115234375
185,1389.66357421875
186,1396.2174072265625
187,1397.018310546875
188,1397.55224609375
189,1400.3780517578125
190,1398.7579345703125
191,1398.59228515625
192,1400.0650634765625
193,1409.2515869140625
194,1411.69091796875
195,1411.6632080078125
196,1407.0975341796875
197,1407.39208984375
198,1396.8895263671875
199,1405.2198486328125
200,1404.5845947265625
201,1403.535400390625
202,1404.6307373046875
203,1394.4962158203125
204,1401.031494140625
205,1399.52197265625
206,1398.1412353515625
207,1424.5408935546875
208,1429.8797607421875
209,1421.7425537109375
210,1425.866455078125
211,1428.6279296875
212,1450.1949462890625
213,1455.5152587890625
214,1451.2994384765625
215,1449.5780029296875
216,1451.170654296875
217,1450.4434814453125
218,1450.342041015625
219,1447.3414306640625
220,1433.2579345703125
221,1425.6453857421875
222,1438.3758544921875
223,1432.4110107421875
224,1435.9273681640625
225,1437.087158203125
226,1441.910400390625
227,1451.4927978515625
228,1451.060302734375
229,1446.41162109375
230,1433.1566162109375
231,1424.9459228515625
232,1425.20361328125
233,1421.2916259765625
234,1431.9140625
235,1445.528076171875
236,1451.0416259765625
237,1447.755615234375
238,1425.5257568359375
239,1426.105712890625
240,1407.0423583984375
241,1403.029052734375
242,1406.9134521484375
243,1405.96533203125
244,1406.1680908203125
245,1420.3709716796875
246,1408.045654296875
247,1410.8623046875
248,1421.107421875
249,1389.939697265625
250,1374.2730712890625
251,1376.4268798828125
252,1376.5926513671875
253,1371.530029296875
254,1354.00390625
255,1352.0155029296875
256,1358.044677734375
257,1382.9073486328125
258,1383.754150390625
259,1386.718017578125
260,1403.397216796875
261,1400.7646484375
262,1393.9990234375
263,1404.115234375
264,1409.656494140625
265,1409.868408203125
266,1403.6826171875
267,1401.4642333984375
268,1403.5169677734375
269,1407.8062744140625
270,1411.60791015625
271,1412.0499267578125
272,1420.60107421875
273,1421.190185546875
274,1412.8782958984375
275,1407.4749755859375
276,1422.9208984375
277,1438.0445556640625
278,1427.9376220703125
279,1435.19091796875
280,1422.7275390625
281,1419.5150146484375
282,1413.22802734375
283,1411.6356201171875
284,1397.211669921875
285,1419.082275390625
286,1452.4317626953125
287,1449.624267578125
288,1456.1597900390625
289,1451.9439697265625
290,1447.5806884765625
291,1451.14306640625
292,1461.3603515625
293,1461.2960205078125
294,1460.034912109375
295,1461.5628662109375
296,1461.829833984375
297,1469.4791259765625
298,1474.118408203125
299,1480.17529296875
300,1482.2464599609375
301,1482.25537109375
302,1489.7481689453125
303,1487.1893310546875
304,1494.240234375
305,1488.8277587890625
306,1485.2838134765625
307,1499.146484375
308,1483.07470703125
309,1497.4158935546875
310,1498.1798095703125
311,1495.6668701171875
312,1503.5279541015625
313,1502.6810302734375
314,1504.90869140625
315,1505.7371826171875
316,1506.70361328125
317,1505.239990234375
318,1515.5035400390625
319,1498.0233154296875
320,1489.251220703125
321,1501.383056640625
322,1475.839599609375
323,1484.2069091796875
324,1501.7421875
325,1500.536376953125
326,1503.7763671875
327,1510.2197265625
328,1523.6497802734375
329,1525.18701171875
330,1527.7645263671875
331,1534.13427734375
332,1538.7734375
333,1535.330810546875
334,1537.208740234375
335,1545.22607421875
336,1542.897216796875
337,1534.9810791015625
338,1531.5198974609375
339,1541.0654296875
340,1529.1820068359375
341,1539.3902587890625
342,1534.6036376953125
343,1545.72314453125
344,1544.876220703125
