,0
0,1261.9163445484305
1,1260.912604911613
2,1260.071485015795
3,1241.887559680589
4,1241.0076919523642
5,1240.0275091952128
6,1262.4718882830032
7,1260.5413905808234
8,1260.9792146302823
9,1251.2321178797122
10,1251.0278204572696
11,1251.8773402652023
12,1257.074834778329
13,1257.1853784604389
14,1256.6887801460687
15,1238.8499358752072
16,1239.6274549414925
17,1239.702464698738
18,1218.8571236287476
19,1220.6841736961176
20,1219.6219149673855
21,1217.2984101091713
22,1217.903098866497
23,1216.936652717846
24,1195.6912593468833
25,1196.755960754555
26,1196.4840385660418
27,1189.5850492435018
28,1190.5693302819145
29,1189.4802424746797
30,1165.1676681953568
31,1166.5548544477895
32,1166.0325942853633
33,1160.364707975189
34,1161.3683598322489
35,1160.0781331402152
36,1190.0868048267791
37,1188.2784612924124
38,1188.2597055192678
39,1193.190895335367
40,1191.8377966572648
41,1193.1438959195143
42,1240.47247980584
43,1237.8357478972584
44,1238.3283982634828
45,1242.2338206768748
46,1240.2970160788823
47,1242.6377823126368
48,1242.6273080289077
49,1242.8446293632005
50,1242.7401529274473
51,1255.7230859064978
52,1255.080414380138
53,1255.093155642031
54,1257.6650576763732
55,1257.0441444964354
56,1257.5859500829777
57,1260.17774892716
58,1259.989972567893
59,1260.0300559415743
60,1236.9781342688516
61,1238.0079198269943
62,1237.8619887081668
63,1253.8946977247788
64,1253.9991623878839
65,1252.8234059132926
66,1238.587525042509
67,1238.2464624830743
68,1239.10112624391
69,1226.814424477308
70,1228.1296317690965
71,1227.0806628029727
72,1214.3496822425548
73,1215.2514461592532
74,1214.5346121197929
75,1216.1264643715551
76,1216.4703627163697
77,1215.6916796408445
78,1219.4606816209227
79,1218.9921533204606
80,1219.1148933153756
81,1206.5867479773374
82,1206.9199982580633
83,1206.975471241007
84,1237.50185806061
85,1236.6966409126765
86,1236.0408774434527
87,1242.6779600460977
88,1240.6944663165698
89,1242.515800752077
90,1251.3668452361705
91,1250.9497545952886
92,1251.0928458131418
93,1263.5026537921892
94,1262.524865151299
95,1263.0561675756492
96,1264.5958768050364
97,1264.0227882851418
98,1264.5794385185916
99,1251.0104234799965
100,1251.5674841162243
101,1251.4662076926836
102,1261.8899196778536
103,1262.1019965918968
104,1261.2561137212303
105,1258.3042830321176
106,1257.7022388968157
107,1258.3202712058123
108,1274.3663002956955
109,1273.9519660237215
110,1273.663846931806
111,1276.8161246484608
112,1275.719307941772
113,1276.729955428691
114,1279.8285876775333
115,1279.7133022084658
116,1279.7044978514905
117,1278.0114889173876
118,1277.872431815373
119,1278.017961165733
120,1280.2492081586124
121,1280.2774262211449
122,1280.053693970077
123,1290.689039416756
124,1290.0771517018686
125,1290.2063042692616
