,0,1,2,3,4,5,6
0,1230.998291015625,1235.535400390625,1231.0380859375,1223.9542236328125,1231.1820068359375,1228.0302734375,1235.640380859375
1,1228.5338134765625,1231.775390625,1227.1787109375,1222.705078125,1229.4276123046875,1226.3760986328125,1232.141845703125
2,1221.76025390625,1226.072509765625,1220.6209716796875,1216.8614501953125,1224.3538818359375,1221.0147705078125,1223.786865234375
3,1210.1497802734375,1214.30029296875,1209.91162109375,1207.166259765625,1215.18896484375,1211.9801025390625,1215.2689208984375
4,1198.154541015625,1203.5128173828125,1198.529296875,1196.7198486328125,1206.1114501953125,1201.179931640625,1203.6220703125
5,1186.3316650390625,1190.83447265625,1186.54296875,1184.2471923828125,1194.4482421875,1190.0196533203125,1193.557861328125
6,1186.763427734375,1187.5828857421875,1184.212890625,1180.783203125,1189.3446044921875,1186.8609619140625,1193.380859375
7,1186.567626953125,1188.317138671875,1185.058837890625,1178.8822021484375,1187.126220703125,1185.615478515625,1193.3511962890625
8,1193.9373779296875,1192.655029296875,1192.2015380859375,1182.341064453125,1192.0496826171875,1188.9930419921875,1205.1192626953125
9,1203.5556640625,1204.289306640625,1202.567626953125,1190.2054443359375,1199.3385009765625,1195.4937744140625,1213.2392578125
10,1207.7294921875,1210.048095703125,1208.8385009765625,1195.0989990234375,1204.4715576171875,1201.1177978515625,1220.0684814453125
11,1220.2825927734375,1221.511474609375,1219.4913330078125,1207.767822265625,1215.02783203125,1212.1317138671875,1230.1395263671875
12,1233.6402587890625,1234.853759765625,1231.4022216796875,1219.3167724609375,1225.964111328125,1224.04052734375,1238.4306640625
13,1238.2850341796875,1240.186279296875,1237.0025634765625,1227.294677734375,1231.7093505859375,1231.8018798828125,1243.744873046875
14,1239.2166748046875,1243.135986328125,1239.03515625,1230.854736328125,1238.4482421875,1233.9365234375,1243.6595458984375
15,1242.0618896484375,1243.197509765625,1239.7679443359375,1231.2796630859375,1239.583740234375,1234.751953125,1246.0140380859375
16,1241.0291748046875,1243.803466796875,1238.81591796875,1231.8675537109375,1237.142822265625,1235.277587890625,1242.289306640625
