,0
0,1277.829833984375
1,1284.8621826171875
2,1300.90966796875
3,1292.885009765625
4,1296.892822265625
5,1283.0106201171875
6,1269.2342529296875
7,1268.9163818359375
8,1253.9180908203125
9,1250.6541748046875
10,1233.336181640625
11,1231.28076171875
12,1253.6339111328125
13,1255.37890625
14,1289.6826171875
15,1288.10205078125
16,1287.90283203125
17,1296.4075927734375
18,1297.331787109375
19,1299.020751953125
20,1281.31201171875
21,1295.1512451171875
22,1282.718505859375
23,1275.595458984375
24,1266.380126953125
25,1268.9825439453125
26,1271.5726318359375
27,1262.097900390625
28,1285.9244384765625
29,1287.5311279296875
30,1294.3603515625
31,1301.8941650390625
32,1301.9608154296875
33,1291.463134765625
34,1300.357666015625
35,1296.7532958984375
36,1309.7022705078125
37,1309.862060546875
38,1312.3665771484375
39,1310.2017822265625
40,1312.126708984375
41,1319.7117919921875
42,1319.9786376953125
43,1321.992919921875
44,1317.71826171875
45,1320.7723388671875
46,1330.3621826171875
47,1334.67724609375
48,1335.2652587890625
49,1335.6795654296875
50,1334.7774658203125
51,1342.40478515625
52,1337.303466796875
53,1335.9000244140625
54,1333.6817626953125
55,1333.281005859375
56,1341.087158203125
57,1342.056884765625
58,1355.014404296875
59,1354.632568359375
60,1356.4547119140625
61,1358.4044189453125
62,1359.7379150390625
63,1353.5006103515625
64,1359.617431640625
65,1358.7662353515625
66,1353.8958740234375
67,1363.820556640625
68,1365.9598388671875
69,1366.6171875
70,1363.5657958984375
71,1367.45556640625
72,1368.9853515625
73,1370.2265625
74,1373.3074951171875
75,1368.945068359375
76,1374.589599609375
77,1371.595703125
78,1368.0391845703125
79,1353.9827880859375
80,1360.1937255859375
81,1369.099365234375
82,1372.427978515625
83,1372.57568359375
84,1389.279052734375
85,1388.1558837890625
86,1393.7525634765625
87,1394.8092041015625
88,1398.5650634765625
89,1395.7176513671875
90,1393.94775390625
91,1387.147216796875
92,1390.05908203125
93,1403.1175537109375
94,1400.43017578125
95,1395.7310791015625
96,1394.210205078125
97,1397.7032470703125
98,1404.82177734375
99,1401.00927734375
100,1391.303466796875
101,1390.711669921875
102,1380.0364990234375
103,1364.189453125
104,1370.9781494140625
105,1383.6448974609375
106,1372.0185546875
107,1371.5555419921875
108,1385.8026123046875
109,1382.01171875
110,1376.4898681640625
111,1377.5711669921875
112,1369.79052734375
113,1373.166259765625
114,1385.741943359375
115,1391.9898681640625
116,1394.263916015625
117,1390.5972900390625
118,1395.91943359375
119,1393.5574951171875
120,1386.333740234375
121,1371.2401123046875
122,1371.56201171875
123,1367.630126953125
124,1361.500732421875
125,1363.7869873046875
126,1360.703125
127,1350.6282958984375
128,1345.4815673828125
129,1341.56201171875
130,1328.239013671875
131,1321.80615234375
132,1335.6727294921875
133,1336.1004638671875
134,1337.5908203125
135,1338.8074951171875
136,1336.8956298828125
137,1346.6591796875
138,1333.8887939453125
139,1331.8917236328125
140,1310.35498046875
141,1310.4482421875
142,1315.3253173828125
143,1335.09814453125
144,1335.004638671875
145,1342.1370849609375
146,1330.956787109375
147,1341.1474609375
148,1334.93115234375
149,1344.4381103515625
150,1353.634765625
151,1354.9339599609375
152,1363.7802734375
153,1362.244873046875
154,1342.036865234375
155,1348.3992919921875
156,1334.1561279296875
157,1338.34619140625
158,1346.2779541015625
159,1344.39794921875
160,1366.5836181640625
161,1368.8310546875
162,1374.5426025390625
163,1370.2198486328125
164,1361.5679931640625
165,1360.0797119140625
166,1352.7171630859375
167,1352.7037353515625
168,1348.2252197265625
169,1362.9757080078125
170,1360.870849609375
171,1367.5965576171875
172,1373.7100830078125
173,1376.214599609375
174,1366.9190673828125
175,1358.7796630859375
176,1350.6015625
177,1350.3203125
178,1365.1484375
179,1382.5694580078125
180,1382.119384765625
181,1378.101806640625
182,1375.4154052734375
183,1368.48876953125
184,1385.94384765625
185,1388.1221923828125
186,1392.9114990234375
187,1393.496826171875
188,1393.8870849609375
189,1395.9532470703125
190,1394.7686767578125
191,1394.647705078125
192,1395.724365234375
193,1402.4439697265625
194,1404.22900390625
195,1404.2088623046875
196,1400.8677978515625
197,1401.08349609375
198,1393.4027099609375
199,1399.494140625
200,1399.0296630859375
201,1398.2620849609375
202,1399.063232421875
203,1391.6534423828125
204,1396.4310302734375
205,1395.3272705078125
206,1394.31787109375
207,1413.638427734375
208,1417.55078125
209,1411.5885009765625
210,1414.609619140625
211,1416.6334228515625
212,1432.4527587890625
213,1436.359375
214,1433.263671875
215,1432.0001220703125
216,1433.1693115234375
217,1432.6353759765625
218,1432.56103515625
219,1430.3582763671875
220,1420.027099609375
221,1414.4476318359375
222,1423.7801513671875
223,1419.4063720703125
224,1421.9844970703125
225,1422.8349609375
226,1426.373046875
227,1433.4056396484375
228,1433.088134765625
229,1429.6759033203125
230,1419.952880859375
231,1413.935302734375
232,1414.1240234375
233,1411.2581787109375
234,1419.0419921875
235,1429.02734375
236,1433.0745849609375
237,1430.6622314453125
238,1414.3599853515625
239,1414.784912109375
240,1400.8275146484375
241,1397.8917236328125
242,1400.733154296875
243,1400.0396728515625
244,1400.187744140625
245,1410.583984375
246,1401.5614013671875
247,1403.6226806640625
248,1411.123291015625
249,1388.3240966796875
250,1376.8861083984375
251,1378.457763671875
252,1378.57861328125
253,1374.8851318359375
254,1362.1107177734375
255,1360.662841796875
256,1365.054443359375
257,1383.1878662109375
258,1383.8062744140625
259,1385.970703125
260,1398.1611328125
261,1396.23583984375
262,1391.2900390625
263,1398.686279296875
264,1402.7401123046875
265,1402.8951416015625
266,1398.3697509765625
267,1396.747314453125
268,1398.2486572265625
269,1401.386474609375
270,1404.1683349609375
271,1404.4918212890625
272,1410.75244140625
273,1411.1839599609375
274,1405.0980224609375
