,0
0,1129.845458984375
1,1140.33349609375
2,1164.318603515625
3,1152.3154296875
4,1158.3082275390625
5,1137.57080078125
6,1117.045166015625
7,1116.5721435546875
8,1094.2880859375
9,1089.447021484375
10,1063.8101806640625
11,1060.7730712890625
12,1093.8665771484375
13,1096.4556884765625
14,1147.5308837890625
15,1145.170166015625
16,1144.872802734375
17,1157.5821533203125
18,1158.9644775390625
19,1161.4915771484375
20,1135.0369873046875
21,1155.703369140625
22,1137.1351318359375
23,1126.51611328125
24,1112.799560546875
25,1116.6707763671875
26,1120.5255126953125
27,1106.433837890625
28,1141.9188232421875
29,1144.3173828125
30,1154.52099609375
31,1165.792724609375
32,1165.892333984375
33,1150.1905517578125
34,1163.4923095703125
35,1158.099365234375
36,1177.491455078125
37,1177.7310791015625
38,1181.487548828125
39,1178.2403564453125
40,1181.127685546875
41,1192.5142822265625
42,1192.9150390625
43,1195.9417724609375
44,1189.5198974609375
45,1194.1075439453125
46,1208.5303955078125
47,1215.0283203125
48,1215.9141845703125
49,1216.5384521484375
50,1215.179443359375
51,1226.6788330078125
52,1218.9859619140625
53,1216.870849609375
54,1213.52880859375
55,1212.925048828125
56,1224.69140625
57,1226.1541748046875
58,1245.7271728515625
59,1245.149658203125
60,1247.9056396484375
61,1250.8558349609375
62,1252.87451171875
63,1243.438232421875
64,1252.69189453125
65,1251.403564453125
66,1244.03564453125
67,1259.0572509765625
68,1262.298828125
69,1263.294921875
70,1258.6710205078125
71,1264.566162109375
72,1266.885498046875
73,1268.76806640625
74,1273.442626953125
75,1266.824462890625
76,1275.3887939453125
77,1270.844970703125
78,1265.450927734375
79,1244.167236328125
80,1253.5643310546875
81,1267.0584716796875
82,1272.1080322265625
83,1272.3319091796875
84,1297.7203369140625
85,1296.0108642578125
86,1304.533935546875
87,1306.1439208984375
88,1311.8701171875
89,1307.5286865234375
90,1304.8314208984375
91,1294.475830078125
92,1298.908203125
93,1318.8160400390625
94,1314.71533203125
95,1307.5491943359375
96,1305.231201171875
97,1310.5560302734375
98,1321.418212890625
99,1315.5987548828125
100,1300.80322265625
101,1299.9017333984375
102,1283.661865234375
103,1259.61572265625
104,1269.9083251953125
105,1289.147705078125
106,1271.4866943359375
107,1270.783935546875
108,1292.4298095703125
109,1286.66455078125
110,1278.2742919921875
111,1279.91650390625
112,1268.1065673828125
113,1273.2283935546875
114,1292.337646484375
115,1301.848388671875
116,1305.3131103515625
117,1299.7276611328125
118,1307.83642578125
119,1304.2366943359375
120,1293.23779296875
121,1270.3052978515625
122,1270.794189453125
123,1264.83056640625
124,1255.5433349609375
125,1259.00634765625
126,1254.335693359375
127,1239.09619140625
128,1231.32275390625
129,1225.40771484375
130,1205.3348388671875
131,1195.6610107421875
132,1216.528564453125
133,1217.1729736328125
134,1219.419189453125
135,1221.2532958984375
136,1218.3714599609375
137,1233.100830078125
138,1213.8406982421875
139,1210.832763671875
140,1178.47021484375
141,1178.60986328125
142,1185.9271240234375
143,1215.6627197265625
144,1215.521728515625
145,1226.275146484375
146,1209.425048828125
147,1224.7822265625
148,1215.410888671875
149,1229.747314453125
150,1243.640625
151,1245.60546875
152,1258.99609375
153,1256.6702880859375
154,1226.1239013671875
155,1235.7286376953125
156,1214.2432861328125
157,1220.5577392578125
158,1232.5247802734375
159,1229.686767578125
160,1263.244140625
161,1266.6514892578125
162,1275.3175048828125
163,1268.7579345703125
164,1255.64501953125
165,1253.391845703125
166,1242.253662109375
167,1242.2332763671875
168,1235.465576171875
169,1257.7772216796875
170,1254.5894775390625
171,1264.77978515625
172,1274.0537109375
173,1277.85595703125
174,1263.752685546875
175,1251.4239501953125
176,1239.0557861328125
177,1238.6307373046875
178,1261.0689697265625
179,1287.512451171875
180,1286.828125
181,1280.722412109375
182,1276.6427001953125
183,1266.132568359375
184,1292.6444091796875
185,1295.9595947265625
186,1303.25244140625
187,1304.144287109375
188,1304.739013671875
189,1307.8876953125
190,1306.082275390625
191,1305.897705078125
192,1307.5389404296875
193,1317.7880859375
194,1320.5130615234375
195,1320.4820556640625
196,1315.3831787109375
197,1315.7117919921875
198,1304.0008544921875
199,1313.287353515625
200,1312.5787353515625
201,1311.408203125
202,1312.6300048828125
203,1301.3360595703125
204,1308.6162109375
205,1306.93359375
206,1305.3951416015625
207,1334.8924560546875
208,1340.87890625
209,1331.757568359375
210,1336.3779296875
211,1339.474609375
212,1363.7225341796875
213,1369.721923828125
214,1364.9674072265625
215,1363.0274658203125
216,1364.8223876953125
217,1364.002685546875
218,1363.8885498046875
219,1360.5076904296875
220,1344.6702880859375
221,1336.1302490234375
222,1350.419921875
223,1343.7196044921875
224,1347.6683349609375
225,1348.9715576171875
226,1354.39453125
227,1365.1854248046875
228,1364.6978759765625
229,1359.460693359375
230,1344.556640625
231,1335.346435546875
232,1335.6351318359375
233,1331.2525634765625
234,1343.16162109375
235,1358.4658203125
236,1364.677001953125
237,1360.97412109375
238,1335.9962158203125
239,1336.646240234375
240,1315.3212890625
241,1310.8433837890625
242,1315.177490234375
243,1314.119140625
244,1314.3453369140625
245,1330.2218017578125
246,1316.44140625
247,1319.5872802734375
248,1331.0465087890625
249,1296.266845703125
250,1278.8759765625
251,1281.2633056640625
252,1281.447021484375
253,1275.83740234375
254,1256.46728515625
255,1254.2747802734375
256,1260.9266357421875
257,1288.4527587890625
258,1289.3931884765625
259,1292.685546875
260,1311.2540283203125
261,1308.318603515625
262,1300.7828369140625
263,1312.054931640625
264,1318.2403564453125
265,1318.4769287109375
266,1311.572265625
267,1309.0986328125
268,1311.3875732421875
269,1316.1741943359375
270,1320.4202880859375
271,1320.914306640625
272,1330.4793701171875
273,1331.1390380859375
274,1321.8399658203125
275,1315.8043212890625
276,1333.0772705078125
277,1350.0474853515625
278,1338.7001953125
279,1346.841064453125
280,1332.8607177734375
281,1329.263671875
282,1322.23095703125
283,1320.4512939453125
284,1304.3597412109375
285,1328.779296875
286,1366.2440185546875
287,1363.079345703125
288,1370.44921875
289,1365.69384765625
290,1360.7772216796875
291,1364.7911376953125
292,1376.3212890625
293,1376.24853515625
294,1374.8240966796875
295,1376.5499267578125
296,1376.8516845703125
297,1385.5015869140625
298,1390.7545166015625
299,1397.6209716796875
300,1399.970947265625
301,1399.9814453125
302,1408.4918212890625
303,1405.5838623046875
304,1413.6005859375
305,1407.4456787109375
306,1403.4193115234375
307,1419.1861572265625
308,1400.9111328125
309,1417.21533203125
310,1418.085205078125
311,1415.2242431640625
312,1424.1793212890625
313,1423.2137451171875
314,1425.7537841796875
315,1426.69873046875
316,1427.8013916015625
317,1426.1317138671875
318,1437.8505859375
319,1417.9071044921875
320,1407.927001953125
321,1421.7344970703125
322,1392.705078125
323,1402.1964111328125
324,1422.1436767578125
325,1420.769775390625
326,1424.462646484375
327,1431.814453125
328,1447.1708984375
329,1448.9312744140625
330,1451.8843994140625
331,1459.189697265625
332,1464.5166015625
333,1460.563232421875
334,1462.71923828125
335,1471.9344482421875
336,1469.256103515625
337,1460.161865234375
338,1456.1903076171875
339,1467.150146484375
340,1453.50927734375
341,1465.225341796875
342,1459.728515625
343,1472.5062255859375
344,1471.5321044921875
345,1478.248779296875
346,1470.81201171875
347,1479.372802734375
348,1461.841796875
349,1468.493896484375
350,1461.4088134765625
351,1471.764892578125
352,1477.634033203125
353,1497.93896484375
354,1503.9432373046875
355,1499.130859375
356,1460.4366455078125
357,1483.955322265625
358,1460.0665283203125
359,1449.08935546875
360,1463.490966796875
361,1471.161376953125
362,1488.4251708984375
363,1488.4356689453125
364,1495.2054443359375
365,1492.1009521484375
366,1504.1986083984375
367,1508.4183349609375
368,1492.5899658203125
369,1508.4398193359375
370,1526.4093017578125
371,1529.7041015625
372,1538.7642822265625
373,1545.9820556640625
374,1539.525390625
375,1547.0660400390625
376,1547.1414794921875
377,1564.95556640625
378,1574.0511474609375
379,1565.095703125
380,1583.43115234375
381,1582.15673828125
382,1585.2572021484375
383,1570.3531494140625
384,1565.1387939453125
385,1564.1588134765625
386,1575.431884765625
387,1562.8240966796875
388,1569.3399658203125
389,1543.889892578125
390,1554.283935546875
391,1544.5765380859375
392,1520.509033203125
393,1535.121337890625
394,1557.46630859375
395,1556.8531494140625
396,1538.946533203125
397,1524.377685546875
398,1549.9219970703125
399,1539.5894775390625
400,1552.8011474609375
401,1566.5389404296875
402,1541.9483642578125
403,1498.428466796875
404,1502.9420166015625
405,1482.384765625
406,1498.2581787109375
407,1514.4871826171875
408,1525.1046142578125
409,1517.7108154296875
410,1526.98681640625
411,1526.045654296875
412,1527.46826171875
413,1545.123779296875
414,1554.3267822265625
415,1567.0882568359375
416,1567.411376953125
417,1591.593017578125
418,1597.18896484375
419,1599.6907958984375
420,1592.9346923828125
421,1597.9686279296875
422,1607.1383056640625
423,1610.08935546875
424,1613.8240966796875
425,1610.4150390625
426,1603.418701171875
427,1608.0927734375
428,1609.61181640625
429,1602.757568359375
430,1603.4403076171875
431,1603.19091796875
432,1626.152099609375
433,1629.199951171875
434,1626.44580078125
435,1615.822509765625
436,1608.8087158203125
437,1615.94189453125
438,1609.3621826171875
439,1607.2464599609375
440,1612.33642578125
441,1602.822509765625
442,1576.791015625
443,1570.870361328125
444,1560.34912109375
445,1567.12060546875
446,1556.8426513671875
447,1572.08837890625
448,1579.14404296875
